run,variant,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
all_scope,subtractive,mil_topk,44,contract,precision_focused,target_precision,0.9390000000000001,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.3227680020499589,0.7230769230769231,0,182,0,30,212,30,182,0.23595505617977527,0.2032520325203252,0.17682926829268292,0.612,0.431,0.245,0.7333333333333333,0.8666666666666667,0.9
all_scope,subtractive,mil_topk,45,contract,max_f1,max_f1,0.792,0.3050847457627119,0.6,0.28169014084507044,0.6666666666666666,0.39603960396039606,0.5235602094240838,0.2937078039847624,0.7223443223443223,20,131,51,10,212,30,182,0.24691358024691357,0.1984126984126984,0.1724137931034483,0.757,0.638,0.312,0.7,0.8,0.9
all_scope,subtractive,mil_topk,45,contract,high_recall,target_recall,0.312,0.13432835820895522,0.9,0.1724137931034483,1.0,0.29411764705882354,0.5102040816326531,0.2937078039847624,0.7223443223443223,30,38,144,0,212,30,182,0.24691358024691357,0.1984126984126984,0.1724137931034483,0.757,0.638,0.312,0.7,0.8,0.9
all_scope,subtractive,mil_topk,45,contract,precision_focused,target_precision,0.93,1.0,0.1,0.0,0.0,0.0,0.0,0.2937078039847624,0.7223443223443223,0,180,2,30,212,30,182,0.24691358024691357,0.1984126984126984,0.1724137931034483,0.757,0.638,0.312,0.7,0.8,0.9
all_scope,subtractive,mil_topk,46,contract,max_f1,max_f1,0.749,0.25333333333333335,0.6333333333333333,0.25757575757575757,0.5666666666666667,0.3541666666666667,0.45698924731182794,0.3480313643256224,0.7166666666666667,17,133,49,13,212,30,182,0.2247191011235955,0.21296296296296297,0.17751479289940827,0.706,0.618,0.271,0.7,0.8,0.9
all_scope,subtractive,mil_topk,46,contract,high_recall,target_recall,0.271,0.13432835820895522,0.9,0.17751479289940827,1.0,0.3015075376884422,0.5190311418685121,0.3480313643256224,0.7166666666666667,30,43,139,0,212,30,182,0.2247191011235955,0.21296296296296297,0.17751479289940827,0.706,0.618,0.271,0.7,0.8,0.9
all_scope,subtractive,mil_topk,46,contract,precision_focused,target_precision,0.932,1.0,0.1,1.0,0.03333333333333333,0.06451612903225806,0.04132231404958678,0.3480313643256224,0.7166666666666667,1,182,0,29,212,30,182,0.2247191011235955,0.21296296296296297,0.17751479289940827,0.706,0.618,0.271,0.7,0.8,0.9
all_scope,gated,mil_topk,42,contract,max_f1,max_f1,0.807,0.24242424242424243,0.5333333333333333,0.30434782608695654,0.4666666666666667,0.3684210526315789,0.4216867469879518,0.37927583932925496,0.7302197802197803,14,150,32,16,212,30,182,0.22988505747126436,0.22857142857142856,0.19047619047619047,0.746,0.7030000000000001,0.54,0.7666666666666667,0.8,0.9
all_scope,gated,mil_topk,42,contract,high_recall,target_recall,0.54,0.14917127071823205,0.9,0.19047619047619047,0.9333333333333333,0.3163841807909605,0.5243445692883895,0.37927583932925496,0.7302197802197803,28,63,119,2,212,30,182,0.22988505747126436,0.22857142857142856,0.19047619047619047,0.746,0.7030000000000001,0.54,0.7666666666666667,0.8,0.9
all_scope,gated,mil_topk,42,contract,precision_focused,target_precision,0.746,0.19166666666666668,0.7666666666666667,0.22988505747126436,0.6666666666666666,0.34188034188034183,0.48309178743961345,0.37927583932925496,0.7302197802197803,20,115,67,10,212,30,182,0.22988505747126436,0.22857142857142856,0.19047619047619047,0.746,0.7030000000000001,0.54,0.7666666666666667,0.8,0.9
