run,model,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
reentrancy_only,HyperVul native MIL,mil_max,45,contract,high_recall,target_recall,0.126,0.09154929577464789,0.9285714285714286,0.11764705882352941,0.75,0.20338983050847456,0.36144578313253006,0.31000283928207345,0.7015796703296704,12,92,90,4,198,16,182,0.11666666666666667,0.10638297872340426,0.11764705882352941,0.28600000000000003,0.155,0.126,0.7142857142857143,0.8571428571428571,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_max,45,contract,precision_focused,target_precision,0.858,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.31000283928207345,0.7015796703296704,0,182,0,16,198,16,182,0.11666666666666667,0.10638297872340426,0.11764705882352941,0.28600000000000003,0.155,0.126,0.7142857142857143,0.8571428571428571,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_max,46,contract,max_f1,max_f1,0.714,0.2,0.6428571428571429,0.1875,0.375,0.25,0.3125,0.3431050433579348,0.6923076923076923,6,156,26,10,198,16,182,0.125,0.13414634146341464,0.13414634146341464,0.608,0.506,0.506,0.7142857142857143,0.9285714285714286,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_max,46,contract,high_recall,target_recall,0.506,0.0948905109489051,0.9285714285714286,0.13414634146341464,0.6875,0.22448979591836735,0.3767123287671233,0.3431050433579348,0.6923076923076923,11,111,71,5,198,16,182,0.125,0.13414634146341464,0.13414634146341464,0.608,0.506,0.506,0.7142857142857143,0.9285714285714286,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_max,46,contract,precision_focused,target_precision,0.714,0.2,0.6428571428571429,0.1875,0.375,0.25,0.3125,0.3431050433579348,0.6923076923076923,6,156,26,10,198,16,182,0.125,0.13414634146341464,0.13414634146341464,0.608,0.506,0.506,0.7142857142857143,0.9285714285714286,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_topk,42,contract,max_f1,max_f1,0.9380000000000001,0.3333333333333333,0.21428571428571427,0.6666666666666666,0.25,0.36363636363636365,0.2857142857142857,0.2868809652793406,0.7022664835164835,4,180,2,12,198,16,182,0.10666666666666667,0.11926605504587157,0.11926605504587157,0.664,0.51,0.51,0.7857142857142857,0.9285714285714286,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_topk,42,contract,high_recall,target_recall,0.51,0.09090909090909091,0.9285714285714286,0.11926605504587157,0.8125,0.20800000000000002,0.37572254335260113,0.2868809652793406,0.7022664835164835,13,86,96,3,198,16,182,0.10666666666666667,0.11926605504587157,0.11926605504587157,0.664,0.51,0.51,0.7857142857142857,0.9285714285714286,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_topk,42,contract,precision_focused,target_precision,0.969,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2868809652793406,0.7022664835164835,0,182,0,16,198,16,182,0.10666666666666667,0.11926605504587157,0.11926605504587157,0.664,0.51,0.51,0.7857142857142857,0.9285714285714286,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_topk,43,contract,max_f1,max_f1,0.972,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2807893591657865,0.7039835164835165,0,182,0,16,198,16,182,0.12264150943396226,0.12264150943396226,0.12264150943396226,0.559,0.559,0.559,0.9285714285714286,0.9285714285714286,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_topk,43,contract,high_recall,target_recall,0.559,0.09848484848484848,0.9285714285714286,0.12264150943396226,0.8125,0.21311475409836067,0.38235294117647056,0.2807893591657865,0.7039835164835165,13,89,93,3,198,16,182,0.12264150943396226,0.12264150943396226,0.12264150943396226,0.559,0.559,0.559,0.9285714285714286,0.9285714285714286,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_topk,43,contract,precision_focused,target_precision,0.972,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2807893591657865,0.7039835164835165,0,182,0,16,198,16,182,0.12264150943396226,0.12264150943396226,0.12264150943396226,0.559,0.559,0.559,0.9285714285714286,0.9285714285714286,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_topk,44,contract,max_f1,max_f1,0.859,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.3033244696385239,0.698489010989011,0,182,0,16,198,16,182,0.1262135922330097,0.1262135922330097,0.1262135922330097,0.154,0.154,0.154,0.9285714285714286,0.9285714285714286,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_topk,44,contract,high_recall,target_recall,0.154,0.10077519379844961,0.9285714285714286,0.1262135922330097,0.8125,0.2184873949579832,0.3892215568862275,0.3033244696385239,0.698489010989011,13,92,90,3,198,16,182,0.1262135922330097,0.1262135922330097,0.1262135922330097,0.154,0.154,0.154,0.9285714285714286,0.9285714285714286,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_topk,44,contract,precision_focused,target_precision,0.859,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.3033244696385239,0.698489010989011,0,182,0,16,198,16,182,0.1262135922330097,0.1262135922330097,0.1262135922330097,0.154,0.154,0.154,0.9285714285714286,0.9285714285714286,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_topk,45,contract,max_f1,max_f1,0.89,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2827568462051317,0.7098214285714286,0,182,0,16,198,16,182,0.1188118811881188,0.1188118811881188,0.1188118811881188,0.176,0.176,0.176,0.9285714285714286,0.9285714285714286,0.9285714285714286
reentrancy_only,HyperVul native MIL,mil_topk,45,contract,high_recall,target_recall,0.176,0.10833333333333334,0.9285714285714286,0.1188118811881188,0.75,0.20512820512820512,0.3636363636363636,0.2827568462051317,0.7098214285714286,12,93,89,4,198,16,182,0.1188118811881188,0.1188118811881188,0.1188118811881188,0.176,0.176,0.176,0.9285714285714286,0.9285714285714286,0.9285714285714286
