run,strategy,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
all_scope,baseline,mil_topk,43,contract,high_recall,target_recall,0.268,0.13366336633663367,0.9,0.1676300578034682,0.9666666666666667,0.2857142857142857,0.4948805460750853,0.24458870230893837,0.6945054945054945,29,38,144,1,212,30,182,0.21782178217821782,0.20300751879699247,0.1676300578034682,0.763,0.649,0.268,0.7,0.8,0.9
all_scope,baseline,mil_topk,43,contract,precision_focused,target_precision,0.982,0.8,0.13333333333333333,0.0,0.0,0.0,0.0,0.24458870230893837,0.6945054945054945,0,180,2,30,212,30,182,0.21782178217821782,0.20300751879699247,0.1676300578034682,0.763,0.649,0.268,0.7,0.8,0.9
all_scope,hard_negative_upweight,mil_topk,43,contract,max_f1,max_f1,0.39,0.20353982300884957,0.7666666666666667,0.22857142857142856,0.8,0.3555555555555555,0.5333333333333333,0.2690408744434787,0.7111721611721612,24,101,81,6,212,30,182,0.24210526315789474,0.21238938053097345,0.17751479289940827,0.41600000000000004,0.36,0.181,0.7,0.8,0.9
all_scope,hard_negative_upweight,mil_topk,43,contract,high_recall,target_recall,0.181,0.14285714285714285,0.9,0.17751479289940827,1.0,0.3015075376884422,0.5190311418685121,0.2690408744434787,0.7111721611721612,30,43,139,0,212,30,182,0.24210526315789474,0.21238938053097345,0.17751479289940827,0.41600000000000004,0.36,0.181,0.7,0.8,0.9
all_scope,hard_negative_upweight,mil_topk,43,contract,precision_focused,target_precision,0.766,0.75,0.1,0.0,0.0,0.0,0.0,0.2690408744434787,0.7111721611721612,0,182,0,30,212,30,182,0.24210526315789474,0.21238938053097345,0.17751479289940827,0.41600000000000004,0.36,0.181,0.7,0.8,0.9
all_scope,hard_negative_oversample,mil_topk,43,contract,max_f1,max_f1,0.6990000000000001,0.23529411764705882,0.5333333333333333,0.23076923076923078,0.6,0.33333333333333337,0.45454545454545464,0.2569905358560467,0.7128205128205127,18,122,60,12,212,30,182,0.2037037037037037,0.2047244094488189,0.16483516483516483,0.586,0.47200000000000003,0.148,0.7,0.8333333333333334,0.9
all_scope,hard_negative_oversample,mil_topk,43,contract,high_recall,target_recall,0.148,0.12,0.9,0.16483516483516483,1.0,0.2830188679245283,0.49668874172185434,0.2569905358560467,0.7128205128205127,30,30,152,0,212,30,182,0.2037037037037037,0.2047244094488189,0.16483516483516483,0.586,0.47200000000000003,0.148,0.7,0.8333333333333334,0.9
all_scope,hard_negative_oversample,mil_topk,43,contract,precision_focused,target_precision,0.9550000000000001,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.2569905358560467,0.7128205128205127,0,180,2,30,212,30,182,0.2037037037037037,0.2047244094488189,0.16483516483516483,0.586,0.47200000000000003,0.148,0.7,0.8333333333333334,0.9
all_scope,baseline,mil_topk,44,contract,max_f1,max_f1,0.651,0.24675324675324675,0.6333333333333333,0.25396825396825395,0.5333333333333333,0.3440860215053763,0.43715846994535523,0.3099500801092272,0.7126373626373627,16,135,47,14,212,30,182,0.21839080459770116,0.21367521367521367,0.1676300578034682,0.561,0.48,0.178,0.7333333333333333,0.8,0.9
all_scope,baseline,mil_topk,44,contract,high_recall,target_recall,0.178,0.135,0.9,0.1676300578034682,0.9666666666666667,0.2857142857142857,0.4948805460750853,0.3099500801092272,0.7126373626373627,29,38,144,1,212,30,182,0.21839080459770116,0.21367521367521367,0.1676300578034682,0.561,0.48,0.178,0.7333333333333333,0.8,0.9
