model,variant,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support
Sequence-BiGRU,augmented_data,42,contract,test_oracle_max_f1,test_oracle,0.487,,,0.46153846153846156,0.375,0.41379310344827586,0.38961038961038963,0.2714068655198251,0.6754807692307693,6,175,7,10,198,16,182
Sequence-BiGRU,augmented_data,43,contract,max_f1,max_f1,0.018000000000000002,0.15873015873015872,0.8695652173913043,0.10377358490566038,0.6875,0.18032786885245902,0.3235294117647059,0.2358453216955645,0.661401098901099,11,87,95,5,198,16,182
Sequence-BiGRU,augmented_data,43,contract,target_recall_90,target_recall,0.013000000000000001,0.1456953642384106,0.9565217391304348,0.09523809523809523,0.75,0.16901408450704225,0.3157894736842105,0.2358453216955645,0.661401098901099,12,68,114,4,198,16,182
Sequence-BiGRU,augmented_data,43,contract,target_precision_80,target_precision,0.018000000000000002,0.15873015873015872,0.8695652173913043,0.10377358490566038,0.6875,0.18032786885245902,0.3235294117647059,0.2358453216955645,0.661401098901099,11,87,95,5,198,16,182
Sequence-BiGRU,augmented_data,43,contract,test_oracle_max_f1,test_oracle,0.116,,,0.2608695652173913,0.375,0.30769230769230765,0.3448275862068966,0.2358453216955645,0.661401098901099,6,165,17,10,198,16,182
CallGraph-GAT,augmented_data,42,contract,max_f1,max_f1,0.062,0.18478260869565216,0.7391304347826086,0.125,0.5625,0.20454545454545456,0.33088235294117646,0.2814975423236179,0.7287087912087913,9,119,63,7,198,16,182
CallGraph-GAT,augmented_data,42,contract,target_recall_90,target_recall,0.043000000000000003,0.16546762589928057,1.0,0.12280701754385964,0.875,0.2153846153846154,0.3932584269662921,0.2814975423236179,0.7287087912087913,14,82,100,2,198,16,182
CallGraph-GAT,augmented_data,42,contract,target_precision_80,target_precision,0.043000000000000003,0.16546762589928057,1.0,0.12280701754385964,0.875,0.2153846153846154,0.3932584269662921,0.2814975423236179,0.7287087912087913,14,82,100,2,198,16,182
CallGraph-GAT,augmented_data,42,contract,test_oracle_max_f1,test_oracle,0.466,,,0.45454545454545453,0.3125,0.3703703703703703,0.3333333333333333,0.2814975423236179,0.7287087912087913,5,176,6,11,198,16,182
CallGraph-GAT,augmented_data,43,contract,max_f1,max_f1,0.101,0.1724137931034483,0.6521739130434783,0.14516129032258066,0.5625,0.2307692307692308,0.35714285714285715,0.17139516722169942,0.6796016483516484,9,129,53,7,198,16,182
CallGraph-GAT,augmented_data,43,contract,target_recall_90,target_recall,0.025,0.1270718232044199,1.0,0.09815950920245399,1.0,0.17877094972067037,0.3524229074889868,0.17139516722169942,0.6796016483516484,16,35,147,0,198,16,182
