model,seed,threshold_policy,selection_policy,level,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
Function-MLP,45,high_recall,target_recall,contract,0.629,0.17088607594936708,0.9,0.20437956204379562,0.9333333333333333,0.33532934131736525,0.5447470817120622,0.22973262371596778,0.7036630036630036,28,73,109,2,212,30,182,0.2247191011235955,0.22549019607843138,0.20437956204379562,0.882,0.847,0.629,0.7,0.8,0.9
Function-MLP,45,precision_focused,target_precision,contract,0.998,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.22973262371596778,0.7036630036630036,0,182,0,30,212,30,182,0.2247191011235955,0.22549019607843138,0.20437956204379562,0.882,0.847,0.629,0.7,0.8,0.9
Function-MLP,46,max_f1,max_f1,contract,0.903,0.2982456140350877,0.5666666666666667,0.2318840579710145,0.5333333333333333,0.3232323232323232,0.42328042328042326,0.23194463977959517,0.7073260073260074,16,129,53,14,212,30,182,0.22330097087378642,0.22330097087378642,0.21052631578947367,0.759,0.759,0.522,0.8,0.8,0.9
Function-MLP,46,high_recall,target_recall,contract,0.522,0.17532467532467533,0.9,0.21052631578947367,0.9333333333333333,0.34355828220858897,0.5533596837944664,0.23194463977959517,0.7073260073260074,28,77,105,2,212,30,182,0.22330097087378642,0.22330097087378642,0.21052631578947367,0.759,0.759,0.522,0.8,0.8,0.9
Function-MLP,46,precision_focused,target_precision,contract,0.997,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.23194463977959517,0.7073260073260074,0,182,0,30,212,30,182,0.22330097087378642,0.22330097087378642,0.21052631578947367,0.759,0.759,0.522,0.8,0.8,0.9
Function+Features MLP,42,max_f1,max_f1,contract,0.8180000000000001,0.2777777777777778,0.6666666666666666,0.2159090909090909,0.6333333333333333,0.3220338983050848,0.4567307692307692,0.20804202241748346,0.680952380952381,19,113,69,11,212,30,182,0.22,0.22727272727272727,0.19444444444444445,0.774,0.677,0.386,0.7333333333333333,0.8,0.9333333333333333
Function+Features MLP,42,high_recall,target_recall,contract,0.386,0.16184971098265896,0.9333333333333333,0.19444444444444445,0.9333333333333333,0.32183908045977017,0.5303030303030303,0.20804202241748346,0.680952380952381,28,66,116,2,212,30,182,0.22,0.22727272727272727,0.19444444444444445,0.774,0.677,0.386,0.7333333333333333,0.8,0.9333333333333333
Function+Features MLP,42,precision_focused,target_precision,contract,0.998,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.20804202241748346,0.680952380952381,0,182,0,30,212,30,182,0.22,0.22727272727272727,0.19444444444444445,0.774,0.677,0.386,0.7333333333333333,0.8,0.9333333333333333
Function+Features MLP,43,max_f1,max_f1,contract,0.904,0.30357142857142855,0.5666666666666667,0.25675675675675674,0.6333333333333333,0.3653846153846153,0.4896907216494845,0.2526842591874968,0.721062271062271,19,127,55,11,212,30,182,0.2336448598130841,0.2336448598130841,0.22764227642276422,0.755,0.755,0.577,0.8,0.8,0.9
Function+Features MLP,43,high_recall,target_recall,contract,0.577,0.17763157894736842,0.9,0.22764227642276422,0.9333333333333333,0.36601307189542487,0.5761316872427984,0.2526842591874968,0.721062271062271,28,87,95,2,212,30,182,0.2336448598130841,0.2336448598130841,0.22764227642276422,0.755,0.755,0.577,0.8,0.8,0.9
Function+Features MLP,43,precision_focused,target_precision,contract,0.755,0.24,0.8,0.2336448598130841,0.8333333333333334,0.364963503649635,0.5506607929515419,0.2526842591874968,0.721062271062271,25,100,82,5,212,30,182,0.2336448598130841,0.2336448598130841,0.22764227642276422,0.755,0.755,0.577,0.8,0.8,0.9
Function+Features MLP,44,max_f1,max_f1,contract,0.871,0.2916666666666667,0.7,0.22988505747126436,0.6666666666666666,0.34188034188034183,0.48309178743961345,0.2251299866785829,0.698076923076923,20,115,67,10,212,30,182,0.22988505747126436,0.2079207920792079,0.1958041958041958,0.871,0.803,0.481,0.7,0.8,0.9
Function+Features MLP,44,high_recall,target_recall,contract,0.481,0.16071428571428573,0.9,0.1958041958041958,0.9333333333333333,0.3236994219653179,0.532319391634981,0.2251299866785829,0.698076923076923,28,67,115,2,212,30,182,0.22988505747126436,0.2079207920792079,0.1958041958041958,0.871,0.803,0.481,0.7,0.8,0.9
Function+Features MLP,44,precision_focused,target_precision,contract,0.999,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.2251299866785829,0.698076923076923,0,182,0,30,212,30,182,0.22988505747126436,0.2079207920792079,0.1958041958041958,0.871,0.803,0.481,0.7,0.8,0.9
Function+Features MLP,45,max_f1,max_f1,contract,0.514,0.25555555555555554,0.7666666666666667,0.20952380952380953,0.7333333333333333,0.32592592592592595,0.4888888888888889,0.21312144820526216,0.6913919413919415,22,99,83,8,212,30,182,0.20952380952380953,0.22522522522522523,0.2,0.514,0.427,0.211,0.7666666666666667,0.8,0.9
Function+Features MLP,45,high_recall,target_recall,contract,0.211,0.16463414634146342,0.9,0.2,0.9333333333333333,0.3294117647058824,0.5384615384615384,0.21312144820526216,0.6913919413919415,28,70,112,2,212,30,182,0.20952380952380953,0.22522522522522523,0.2,0.514,0.427,0.211,0.7666666666666667,0.8,0.9
Function+Features MLP,45,precision_focused,target_precision,contract,0.997,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.21312144820526216,0.6913919413919415,0,182,0,30,212,30,182,0.20952380952380953,0.22522522522522523,0.2,0.514,0.427,0.211,0.7666666666666667,0.8,0.9
