model,seed,threshold_policy,selection_policy,level,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support
CallGraph-GAT,42,max_f1,max_f1,interaction,0.795,0.15584415584415584,0.23529411764705882,0.1595744680851064,0.375,0.2238805970149254,0.2952755905511811,0.14884938916713827,0.7866419491525424,15,1101,79,25,1220,40,1180
CallGraph-GAT,42,high_recall,target_recall,interaction,0.001,0.03952901597981497,0.9215686274509803,0.04609929078014184,0.975,0.08803611738148984,0.19383697813121273,0.14884938916713827,0.7866419491525424,39,373,807,1,1220,40,1180
CallGraph-GAT,42,precision_focused,target_precision,interaction,0.297,0.08841463414634146,0.5686274509803921,0.08646616541353383,0.575,0.1503267973856209,0.26995305164319244,0.14884938916713827,0.7866419491525424,23,937,243,17,1220,40,1180
CallGraph-GAT,43,max_f1,max_f1,interaction,0.933,0.21621621621621623,0.3137254901960784,0.125,0.3,0.17647058823529413,0.234375,0.1395183330771859,0.7942902542372883,12,1096,84,28,1220,40,1180
CallGraph-GAT,43,high_recall,target_recall,interaction,0.004,0.04708290685772774,0.9019607843137255,0.05499276410998553,0.95,0.10396716826265391,0.2232667450058754,0.1395183330771859,0.7942902542372883,38,527,653,2,1220,40,1180
CallGraph-GAT,43,precision_focused,target_precision,interaction,0.833,0.14383561643835616,0.4117647058823529,0.11724137931034483,0.425,0.1837837837837838,0.2786885245901639,0.1395183330771859,0.7942902542372883,17,1052,128,23,1220,40,1180
CallGraph-GAT,44,max_f1,max_f1,interaction,0.8270000000000001,0.15789473684210525,0.17647058823529413,0.17721518987341772,0.35,0.23529411764705885,0.29288702928870297,0.12532049405196213,0.7594279661016949,14,1115,65,26,1220,40,1180
CallGraph-GAT,44,high_recall,target_recall,interaction,0.001,0.037122969837587005,0.9411764705882353,0.04479283314669653,1.0,0.0857449088960343,0.18993352326685659,0.12532049405196213,0.7594279661016949,40,327,853,0,1220,40,1180
CallGraph-GAT,44,precision_focused,target_precision,interaction,0.296,0.07272727272727272,0.5490196078431373,0.0782312925170068,0.575,0.1377245508982036,0.2533039647577092,0.12532049405196213,0.7594279661016949,23,909,271,17,1220,40,1180
CallGraph-GAT,45,max_f1,max_f1,interaction,0.718,0.12878787878787878,0.3333333333333333,0.1125,0.45,0.18000000000000002,0.28125,0.10446926145795614,0.7742372881355932,18,1038,142,22,1220,40,1180
CallGraph-GAT,45,high_recall,target_recall,interaction,0.013000000000000001,0.04972972972972973,0.9019607843137255,0.05346820809248555,0.925,0.10109289617486339,0.21713615023474178,0.10446926145795614,0.7742372881355932,37,525,655,3,1220,40,1180
CallGraph-GAT,45,precision_focused,target_precision,interaction,0.718,0.12878787878787878,0.3333333333333333,0.1125,0.45,0.18000000000000002,0.28125,0.10446926145795614,0.7742372881355932,18,1038,142,22,1220,40,1180
CallGraph-GAT,46,max_f1,max_f1,interaction,0.672,0.10344827586206896,0.29411764705882354,0.1165644171779141,0.475,0.18719211822660098,0.2941176470588235,0.11132704839145778,0.7864618644067798,19,1036,144,21,1220,40,1180
CallGraph-GAT,46,high_recall,target_recall,interaction,0.002,0.0423042304230423,0.9215686274509803,0.05093833780160858,0.95,0.09669211195928754,0.20971302428256072,0.11132704839145778,0.7864618644067798,38,472,708,2,1220,40,1180
CallGraph-GAT,46,precision_focused,target_precision,interaction,0.136,0.07627118644067797,0.7058823529411765,0.07238605898123325,0.675,0.13075060532687652,0.2532833020637899,0.11132704839145778,0.7864618644067798,27,834,346,13,1220,40,1180
Pairwise-RGCN,42,max_f1,max_f1,interaction,0.609,0.08653846153846154,0.35294117647058826,0.09042553191489362,0.425,0.14912280701754388,0.24425287356321837,0.11032502045274548,0.7726059322033898,17,1009,171,23,1220,40,1180
Pairwise-RGCN,42,high_recall,target_recall,interaction,0.001,0.046906187624750496,0.9215686274509803,0.05374823196605375,0.95,0.10174029451137884,0.21914648212226065,0.11032502045274548,0.7726059322033898,38,511,669,2,1220,40,1180
Pairwise-RGCN,42,precision_focused,target_precision,interaction,0.999,1.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.11032502045274548,0.7726059322033898,0,1178,2,40,1220,40,1180
Pairwise-RGCN,43,max_f1,max_f1,interaction,0.855,0.15555555555555556,0.13725490196078433,0.13432835820895522,0.225,0.16822429906542055,0.19823788546255505,0.09947090477988535,0.7613771186440678,9,1122,58,31,1220,40,1180
Pairwise-RGCN,43,high_recall,target_recall,interaction,0.0,0.03046594982078853,1.0,0.03278688524590164,1.0,0.06349206349206349,0.1449275362318841,0.09947090477988535,0.7613771186440678,40,0,1180,0,1220,40,1180
Pairwise-RGCN,43,precision_focused,target_precision,interaction,0.061,0.07788944723618091,0.6078431372549019,0.07213114754098361,0.55,0.127536231884058,0.23655913978494628,0.09947090477988535,0.7613771186440678,22,897,283,18,1220,40,1180
Pairwise-RGCN,44,max_f1,max_f1,interaction,0.978,0.21739130434782608,0.09803921568627451,0.1956521739130435,0.225,0.20930232558139536,0.2184466019417476,0.15921040935436181,0.7858686440677966,9,1143,37,31,1220,40,1180
Pairwise-RGCN,44,high_recall,target_recall,interaction,0.001,0.04623115577889447,0.9019607843137255,0.05346820809248555,0.925,0.10109289617486339,0.21713615023474178,0.15921040935436181,0.7858686440677966,37,525,655,3,1220,40,1180
Pairwise-RGCN,44,precision_focused,target_precision,interaction,0.004,0.05761316872427984,0.8235294117647058,0.06398537477148081,0.875,0.1192504258943782,0.24752475247524755,0.15921040935436181,0.7858686440677966,35,668,512,5,1220,40,1180
Pairwise-RGCN,45,max_f1,max_f1,interaction,0.014,0.059813084112149535,0.6274509803921569,0.06636155606407322,0.725,0.12159329140461214,0.24288107202680068,0.1434516995799333,0.7684533898305084,29,772,408,11,1220,40,1180
Pairwise-RGCN,45,high_recall,target_recall,interaction,0.0,0.03046594982078853,1.0,0.03278688524590164,1.0,0.06349206349206349,0.1449275362318841,0.1434516995799333,0.7684533898305084,40,0,1180,0,1220,40,1180
Pairwise-RGCN,45,precision_focused,target_precision,interaction,0.007,0.058922558922558925,0.6862745098039216,0.06444906444906445,0.775,0.11900191938579656,0.24180967238689546,0.1434516995799333,0.7684533898305084,31,730,450,9,1220,40,1180
Pairwise-RGCN,46,max_f1,max_f1,interaction,0.8160000000000001,0.12048192771084337,0.19607843137254902,0.17894736842105263,0.425,0.2518518518518519,0.3333333333333333,0.16130238200598596,0.8038135593220339,17,1102,78,23,1220,40,1180
Pairwise-RGCN,46,high_recall,target_recall,interaction,0.0,0.03046594982078853,1.0,0.03278688524590164,1.0,0.06349206349206349,0.1449275362318841,0.16130238200598596,0.8038135593220339,40,0,1180,0,1220,40,1180
Pairwise-RGCN,46,precision_focused,target_precision,interaction,0.059000000000000004,0.06153846153846154,0.6274509803921569,0.07631578947368421,0.725,0.1380952380952381,0.26851851851851855,0.16130238200598596,0.8038135593220339,29,829,351,11,1220,40,1180
Pairwise-GAT,42,max_f1,max_f1,interaction,0.906,0.13513513513513514,0.29411764705882354,0.15254237288135594,0.45,0.22784810126582278,0.3237410071942446,0.1237343400241277,0.7865889830508473,18,1080,100,22,1220,40,1180
Pairwise-GAT,42,high_recall,target_recall,interaction,0.011,0.04878048780487805,0.9019607843137255,0.05198358413132695,0.95,0.09857328145265888,0.21324354657687997,0.1237343400241277,0.7865889830508473,38,487,693,2,1220,40,1180
Pairwise-GAT,42,precision_focused,target_precision,interaction,0.784,0.11386138613861387,0.45098039215686275,0.0989010989010989,0.45,0.16216216216216214,0.2631578947368421,0.1237343400241277,0.7865889830508473,18,1016,164,22,1220,40,1180
Pairwise-GAT,43,max_f1,max_f1,interaction,0.9400000000000001,0.4074074074074074,0.21568627450980393,0.14705882352941177,0.125,0.13513513513513511,0.1288659793814433,0.1435343946419008,0.8197457627118644,5,1151,29,35,1220,40,1180
Pairwise-GAT,43,high_recall,target_recall,interaction,0.002,0.04454976303317536,0.9215686274509803,0.05227882037533512,0.975,0.09923664122137404,0.21523178807947022,0.1435343946419008,0.8197457627118644,39,473,707,1,1220,40,1180
Pairwise-GAT,43,precision_focused,target_precision,interaction,0.992,1.0,0.0392156862745098,0.3333333333333333,0.025,0.046511627906976744,0.030674846625766874,0.1435343946419008,0.8197457627118644,1,1178,2,39,1220,40,1180
Pairwise-GAT,44,max_f1,max_f1,interaction,0.901,0.13861386138613863,0.27450980392156865,0.1588785046728972,0.425,0.2312925170068027,0.3183520599250937,0.15449185773440757,0.7905296610169492,17,1090,90,23,1220,40,1180
Pairwise-GAT,44,high_recall,target_recall,interaction,0.005,0.045409674234945706,0.9019607843137255,0.05084745762711865,0.975,0.09665427509293681,0.21035598705501615,0.15449185773440757,0.7905296610169492,39,452,728,1,1220,40,1180
Pairwise-GAT,44,precision_focused,target_precision,interaction,0.6930000000000001,0.0975609756097561,0.5490196078431373,0.1076923076923077,0.525,0.17872340425531918,0.295774647887324,0.15449185773440757,0.7905296610169492,21,1006,174,19,1220,40,1180
Pairwise-GAT,45,max_f1,max_f1,interaction,0.381,0.0755813953488372,0.5098039215686274,0.076158940397351,0.575,0.13450292397660818,0.24891774891774893,0.13876610342532114,0.7836228813559323,23,901,279,17,1220,40,1180
Pairwise-GAT,45,high_recall,target_recall,interaction,0.006,0.05298759864712514,0.9215686274509803,0.05727554179566564,0.925,0.10787172011661808,0.22952853598014894,0.13876610342532114,0.7836228813559323,37,571,609,3,1220,40,1180
Pairwise-GAT,45,precision_focused,target_precision,interaction,0.997,1.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.13876610342532114,0.7836228813559323,0,1179,1,40,1220,40,1180
Pairwise-GAT,46,max_f1,max_f1,interaction,0.984,0.47619047619047616,0.19607843137254902,0.14285714285714285,0.075,0.0983606557377049,0.08287292817679558,0.14324918888333923,0.8300635593220338,3,1162,18,37,1220,40,1180
Pairwise-GAT,46,high_recall,target_recall,interaction,0.002,0.03868797308662742,0.9019607843137255,0.04773561811505508,0.975,0.0910151691948658,0.19959058341862843,0.14324918888333923,0.8300635593220338,39,402,778,1,1220,40,1180
Pairwise-GAT,46,precision_focused,target_precision,interaction,0.991,0.7777777777777778,0.13725490196078433,0.0,0.0,0.0,0.0,0.14324918888333923,0.8300635593220338,0,1170,10,40,1220,40,1180
Current HyperVul,42,max_f1,max_f1,interaction,0.914,0.21505376344086022,0.39215686274509803,0.12844036697247707,0.35,0.18791946308724833,0.26022304832713755,0.1907058243684364,0.8090889830508474,14,1085,95,26,1220,40,1180
Current HyperVul,42,high_recall,target_recall,interaction,0.121,0.04418828049951969,0.9019607843137255,0.04846938775510204,0.95,0.09223300970873786,0.20127118644067793,0.1907058243684364,0.8090889830508474,38,434,746,2,1220,40,1180
Current HyperVul,42,precision_focused,target_precision,interaction,0.804,0.1596244131455399,0.6666666666666666,0.09774436090225563,0.65,0.16993464052287582,0.30516431924882625,0.1907058243684364,0.8090889830508474,26,940,240,14,1220,40,1180
Current HyperVul,43,max_f1,max_f1,interaction,0.646,0.2109375,0.5294117647058824,0.14173228346456693,0.45,0.2155688622754491,0.313588850174216,0.20920420841258422,0.8256144067796609,18,1071,109,22,1220,40,1180
Current HyperVul,43,high_recall,target_recall,interaction,0.048,0.046890927624872576,0.9019607843137255,0.05416666666666667,0.975,0.10263157894736843,0.22159090909090912,0.20920420841258422,0.8256144067796609,39,499,681,1,1220,40,1180
Current HyperVul,43,precision_focused,target_precision,interaction,0.487,0.1746031746031746,0.6470588235294118,0.11219512195121951,0.575,0.18775510204081636,0.31506849315068497,0.20920420841258422,0.8256144067796609,23,998,182,17,1220,40,1180
Current HyperVul,44,max_f1,max_f1,interaction,0.354,0.16145833333333334,0.6078431372549019,0.1087866108786611,0.65,0.1863799283154122,0.3258145363408521,0.18406272889020542,0.7981144067796611,26,967,213,14,1220,40,1180
Current HyperVul,44,high_recall,target_recall,interaction,0.011,0.045862412761714856,0.9019607843137255,0.05058365758754864,0.975,0.09617755856966709,0.2094522019334049,0.18406272889020542,0.7981144067796611,39,448,732,1,1220,40,1180
Current HyperVul,44,precision_focused,target_precision,interaction,0.28400000000000003,0.15625,0.6862745098039216,0.09187279151943463,0.65,0.1609907120743034,0.2934537246049661,0.18406272889020542,0.7981144067796611,26,923,257,14,1220,40,1180
Current HyperVul,45,max_f1,max_f1,interaction,0.797,0.21782178217821782,0.43137254901960786,0.1391304347826087,0.4,0.2064516129032258,0.2909090909090909,0.17456293846100923,0.8144491525423729,16,1081,99,24,1220,40,1180
Current HyperVul,45,high_recall,target_recall,interaction,0.045,0.04806687565308255,0.9019607843137255,0.05198358413132695,0.95,0.09857328145265888,0.21324354657687997,0.17456293846100923,0.8144491525423729,38,487,693,2,1220,40,1180
Current HyperVul,45,precision_focused,target_precision,interaction,0.647,0.1686746987951807,0.5490196078431373,0.1218274111675127,0.6,0.20253164556962028,0.33613445378151263,0.17456293846100923,0.8144491525423729,24,1007,173,16,1220,40,1180
Current HyperVul,46,max_f1,max_f1,interaction,0.534,0.18867924528301888,0.39215686274509803,0.10071942446043165,0.35,0.1564245810055866,0.23411371237458192,0.1922555548521923,0.8004237288135594,14,1055,125,26,1220,40,1180
Current HyperVul,46,high_recall,target_recall,interaction,0.025,0.05672009864364982,0.9019607843137255,0.05588235294117647,0.95,0.10555555555555556,0.2261904761904762,0.1922555548521923,0.8004237288135594,38,538,642,2,1220,40,1180
Current HyperVul,46,precision_focused,target_precision,interaction,0.20600000000000002,0.136,0.6666666666666666,0.09646302250803858,0.75,0.17094017094017094,0.3184713375796178,0.1922555548521923,0.8004237288135594,30,899,281,10,1220,40,1180
