run,model,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
all_scope,HyperVul native MIL,mil_topk,46,contract,high_recall,target_recall,0.116,0.15,0.9,0.1761006289308176,0.9333333333333333,0.2962962962962963,0.5017921146953405,0.27293844738756967,0.697069597069597,28,51,131,2,212,30,182,0.22093023255813954,0.19327731092436976,0.1761006289308176,0.318,0.214,0.116,0.7333333333333333,0.8,0.9
all_scope,HyperVul native MIL,mil_topk,46,contract,precision_focused,target_precision,0.853,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.27293844738756967,0.697069597069597,0,182,0,30,212,30,182,0.22093023255813954,0.19327731092436976,0.1761006289308176,0.318,0.214,0.116,0.7333333333333333,0.8,0.9
all_scope,HyperVul native MIL,mil_attention,42,contract,max_f1,max_f1,0.604,0.26666666666666666,0.5333333333333333,0.22580645161290322,0.4666666666666667,0.3043478260869565,0.3846153846153846,0.2593337504600871,0.7005494505494506,14,134,48,16,212,30,182,0.2127659574468085,0.19834710743801653,0.1875,0.47500000000000003,0.34,0.229,0.7333333333333333,0.8,0.9
all_scope,HyperVul native MIL,mil_attention,42,contract,high_recall,target_recall,0.229,0.15168539325842698,0.9,0.1875,0.9,0.31034482758620696,0.5113636363636364,0.2593337504600871,0.7005494505494506,27,65,117,3,212,30,182,0.2127659574468085,0.19834710743801653,0.1875,0.47500000000000003,0.34,0.229,0.7333333333333333,0.8,0.9
all_scope,HyperVul native MIL,mil_attention,42,contract,precision_focused,target_precision,0.888,1.0,0.13333333333333333,0.25,0.03333333333333333,0.058823529411764705,0.04032258064516128,0.2593337504600871,0.7005494505494506,1,179,3,29,212,30,182,0.2127659574468085,0.19834710743801653,0.1875,0.47500000000000003,0.34,0.229,0.7333333333333333,0.8,0.9
all_scope,HyperVul native MIL,mil_attention,43,contract,max_f1,max_f1,0.8210000000000001,0.3090909090909091,0.5666666666666667,0.26153846153846155,0.5666666666666667,0.3578947368421053,0.4594594594594595,0.2743942677983352,0.7163003663003663,17,134,48,13,212,30,182,0.24324324324324326,0.2169811320754717,0.19444444444444445,0.786,0.676,0.395,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_attention,43,contract,high_recall,target_recall,0.395,0.14917127071823205,0.9,0.19444444444444445,0.9333333333333333,0.32183908045977017,0.5303030303030303,0.2743942677983352,0.7163003663003663,28,66,116,2,212,30,182,0.24324324324324326,0.2169811320754717,0.19444444444444445,0.786,0.676,0.395,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_attention,43,contract,precision_focused,target_precision,0.966,1.0,0.06666666666666667,0.25,0.03333333333333333,0.058823529411764705,0.04032258064516128,0.2743942677983352,0.7163003663003663,1,179,3,29,212,30,182,0.24324324324324326,0.2169811320754717,0.19444444444444445,0.786,0.676,0.395,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_attention,44,contract,max_f1,max_f1,0.529,0.2857142857142857,0.6,0.24242424242424243,0.5333333333333333,0.3333333333333333,0.4301075268817205,0.26388824843439046,0.6987179487179488,16,132,50,14,212,30,182,0.21348314606741572,0.21904761904761905,0.17834394904458598,0.432,0.356,0.182,0.7,0.8,0.9333333333333333
all_scope,HyperVul native MIL,mil_attention,44,contract,high_recall,target_recall,0.182,0.14507772020725387,0.9333333333333333,0.17834394904458598,0.9333333333333333,0.2994652406417112,0.5054151624548736,0.26388824843439046,0.6987179487179488,28,53,129,2,212,30,182,0.21348314606741572,0.21904761904761905,0.17834394904458598,0.432,0.356,0.182,0.7,0.8,0.9333333333333333
all_scope,HyperVul native MIL,mil_attention,44,contract,precision_focused,target_precision,0.839,1.0,0.1,0.5,0.2,0.28571428571428575,0.22727272727272727,0.26388824843439046,0.6987179487179488,6,176,6,24,212,30,182,0.21348314606741572,0.21904761904761905,0.17834394904458598,0.432,0.356,0.182,0.7,0.8,0.9333333333333333
all_scope,HyperVul native MIL,mil_attention,45,contract,max_f1,max_f1,0.874,0.2830188679245283,0.5,0.25862068965517243,0.5,0.34090909090909094,0.42134831460674155,0.2576679543336277,0.7047619047619048,15,139,43,15,212,30,182,0.22093023255813954,0.21428571428571427,0.19402985074626866,0.797,0.762,0.585,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_attention,45,contract,high_recall,target_recall,0.585,0.15254237288135594,0.9,0.19402985074626866,0.8666666666666667,0.3170731707317074,0.5118110236220472,0.2576679543336277,0.7047619047619048,26,74,108,4,212,30,182,0.22093023255813954,0.21428571428571427,0.19402985074626866,0.797,0.762,0.585,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_attention,45,contract,precision_focused,target_precision,0.967,1.0,0.1,0.16666666666666666,0.03333333333333333,0.05555555555555555,0.03968253968253968,0.2576679543336277,0.7047619047619048,1,177,5,29,212,30,182,0.22093023255813954,0.21428571428571427,0.19402985074626866,0.797,0.762,0.585,0.7,0.8,0.9
all_scope,HyperVul native MIL,mil_attention,46,contract,max_f1,max_f1,0.76,0.375,0.3,0.2631578947368421,0.3333333333333333,0.29411764705882354,0.3164556962025316,0.3156078081313708,0.713003663003663,10,154,28,20,212,30,182,0.21686746987951808,0.21875,0.2,0.516,0.466,0.294,0.7333333333333333,0.8,0.9333333333333333
all_scope,HyperVul native MIL,mil_attention,46,contract,high_recall,target_recall,0.294,0.15300546448087432,0.9333333333333333,0.2,0.8666666666666667,0.325,0.52,0.3156078081313708,0.713003663003663,26,78,104,4,212,30,182,0.21686746987951808,0.21875,0.2,0.516,0.466,0.294,0.7333333333333333,0.8,0.9333333333333333
all_scope,HyperVul native MIL,mil_attention,46,contract,precision_focused,target_precision,0.928,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.3156078081313708,0.713003663003663,0,182,0,30,212,30,182,0.21686746987951808,0.21875,0.2,0.516,0.466,0.294,0.7333333333333333,0.8,0.9333333333333333
reentrancy_only,HyperVul native MIL,mil_max,42,contract,max_f1,max_f1,0.841,0.22857142857142856,0.5714285714285714,0.16666666666666666,0.375,0.23076923076923078,0.30000000000000004,0.29564619480024135,0.7002060439560439,6,152,30,10,198,16,182,0.13793103448275862,0.10256410256410256,0.11363636363636363,0.753,0.661,0.604,0.7142857142857143,0.8571428571428571,1.0
reentrancy_only,HyperVul native MIL,mil_max,42,contract,high_recall,target_recall,0.604,0.11290322580645161,1.0,0.11363636363636363,0.625,0.1923076923076923,0.3289473684210526,0.29564619480024135,0.7002060439560439,10,104,78,6,198,16,182,0.13793103448275862,0.10256410256410256,0.11363636363636363,0.753,0.661,0.604,0.7142857142857143,0.8571428571428571,1.0
reentrancy_only,HyperVul native MIL,mil_max,42,contract,precision_focused,target_precision,0.967,1.0,0.14285714285714285,1.0,0.0625,0.11764705882352941,0.07692307692307693,0.29564619480024135,0.7002060439560439,1,182,0,15,198,16,182,0.13793103448275862,0.10256410256410256,0.11363636363636363,0.753,0.661,0.604,0.7142857142857143,0.8571428571428571,1.0
reentrancy_only,HyperVul native MIL,mil_max,43,contract,max_f1,max_f1,0.785,0.2222222222222222,0.7142857142857143,0.19047619047619047,0.5,0.27586206896551724,0.3773584905660377,0.3662976213101794,0.7091346153846154,8,148,34,8,198,16,182,0.19047619047619047,0.12987012987012986,0.11702127659574468,0.785,0.624,0.529,0.7142857142857143,0.8571428571428571,1.0
