scope,method,variant,evaluation,notes,n,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f2_mean,f2_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,precision_fmt,recall_fmt,f1_fmt,f2_fmt,pr_auc_fmt,roc_auc_fmt
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:rule_suppression,test_oracle,shortcut_leaky_targeted_augmentation,2,0.528160200250313,0.06007509386733417,0.7,0.033333333333333326,0.5982142857142857,0.0267857142857143,0.6540166420405942,0.004665992689944665,0.5036191128137718,0.01943247423946451,0.8838827838827839,0.000366300366300365,52.82 +/- 6.01,70.00 +/- 3.33,59.82 +/- 2.68,65.40 +/- 0.47,50.36 +/- 1.94,88.39 +/- 0.04
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:rule_suppression,validation_threshold,shortcut_leaky_targeted_augmentation,2,0.4599681866383881,0.003446447507953365,0.6666666666666666,0.033333333333333326,0.5439214232765011,0.008710155670867248,0.611296116141585,0.021234004340342727,0.5036191128137718,0.01943247423946451,0.8838827838827839,0.000366300366300365,46.00 +/- 0.34,66.67 +/- 3.33,54.39 +/- 0.87,61.13 +/- 2.12,50.36 +/- 1.94,88.39 +/- 0.04
all_scope,Pairwise-GAT,clean_phase0d,validation_threshold,clean_split_baseline,5,0.22876805302898218,0.0516980491647008,0.5733333333333333,0.16918103387266029,0.3162563816157051,0.04680480953071617,0.4229115918284321,0.06174675313139217,0.2429577655144215,0.021369246912964882,0.6877289377289377,0.024880397935961224,22.88 +/- 5.17,57.33 +/- 16.92,31.63 +/- 4.68,42.29 +/- 6.17,24.30 +/- 2.14,68.77 +/- 2.49
all_scope,Pairwise-RGCN,clean_phase0d,validation_threshold,clean_split_baseline,5,0.2067218137254902,0.02550404887849802,0.7333333333333334,0.17384539747207065,0.31564634092212296,0.01830336707147186,0.4716697691451495,0.04641576632931314,0.24283000087533974,0.03095775832155346,0.6778754578754579,0.02011866205795807,20.67 +/- 2.55,73.33 +/- 17.38,31.56 +/- 1.83,47.17 +/- 4.64,24.28 +/- 3.10,67.79 +/- 2.01
all_scope,Sequence-BiGRU,clean_phase0d,validation_threshold,clean_split_baseline,5,0.24919262116790386,0.029112990342322505,0.44666666666666666,0.11850925889754117,0.3112817581686672,0.017282861168627192,0.3753138111605945,0.05336563465013191,0.2733868762878968,0.033316492400716456,0.6886446886446886,0.009539997513103166,24.92 +/- 2.91,44.67 +/- 11.85,31.13 +/- 1.73,37.53 +/- 5.34,27.34 +/- 3.33,68.86 +/- 0.95
reentrancy_only,HyperVul risk-vs-safety,concat,validation_threshold,phase1b_clean_no_augmentation,5,0.33404174049860436,0.19965116408148997,0.4375,0.2091650066335189,0.2869081862036712,0.06279435640538475,0.32137398833051006,0.04046277272806059,0.31905842080936064,0.04291167277758142,0.6972527472527471,0.02192817148660152,33.40 +/- 19.97,43.75 +/- 20.92,28.69 +/- 6.28,32.14 +/- 4.05,31.91 +/- 4.29,69.73 +/- 2.19
reentrancy_only,HyperVul risk-vs-safety,gated,validation_threshold,phase1b_clean_no_augmentation,5,0.3981546231546232,0.0669720922059725,0.2375,0.024999999999999998,0.2950983397190293,0.029957759860547516,0.25729812805155267,0.02525366826344496,0.24618082122278534,0.019475646485448243,0.6878434065934066,0.013486744734762137,39.82 +/- 6.70,23.75 +/- 2.50,29.51 +/- 3.00,25.73 +/- 2.53,24.62 +/- 1.95,68.78 +/- 1.35
reentrancy_only,HyperVul risk-vs-safety,rule_suppression,validation_threshold,phase1b_clean_no_augmentation,5,0.30287767846622565,0.17318184639405929,0.3125,0.07905694150420949,0.2652762153162242,0.05695302271920165,0.27953081711522765,0.025630445966081876,0.21937473903124496,0.031221244931599293,0.6853021978021978,0.009733865796289593,30.29 +/- 17.32,31.25 +/- 7.91,26.53 +/- 5.70,27.95 +/- 2.56,21.94 +/- 3.12,68.53 +/- 0.97
reentrancy_only,HyperVul risk-vs-safety,subtractive,validation_threshold,phase1b_clean_no_augmentation,5,0.2969187675070028,0.043274817946018326,0.2875,0.03061862178478973,0.2917888563049853,0.03547693611225688,0.2891220984047988,0.03217019043947978,0.290849469052223,0.04093213996970284,0.7001373626373627,0.009360333997995993,29.69 +/- 4.33,28.75 +/- 3.06,29.18 +/- 3.55,28.91 +/- 3.22,29.08 +/- 4.09,70.01 +/- 0.94
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:gated,test_oracle,shortcut_leaky_targeted_augmentation,5,0.5947826086956522,0.06503743287413966,0.8375,0.05,0.693084693084693,0.04980811348057517,0.7720425501534947,0.04218506452896952,0.6159117046465848,0.03429631452034268,0.9515109890109891,0.014735944654050525,59.48 +/- 6.50,83.75 +/- 5.00,69.31 +/- 4.98,77.20 +/- 4.22,61.59 +/- 3.43,95.15 +/- 1.47
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:gated,validation_threshold,shortcut_leaky_targeted_augmentation,5,0.5624057971014493,0.04401538750623572,0.725,0.1920286436967152,0.6169828267491868,0.0731197889259316,0.6725907378361347,0.13566886009665877,0.6159117046465848,0.03429631452034268,0.9515109890109891,0.014735944654050525,56.24 +/- 4.40,72.50 +/- 19.20,61.70 +/- 7.31,67.26 +/- 13.57,61.59 +/- 3.43,95.15 +/- 1.47
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:rule_suppression,test_oracle,shortcut_leaky_targeted_augmentation,2,0.6027777777777779,0.04722222222222222,0.71875,0.09375,0.6552287581699348,0.06699346405228762,0.6917828106852497,0.08202671312427412,0.4688042216012486,0.06627636160434841,0.9256524725274724,0.02421016483516486,60.28 +/- 4.72,71.88 +/- 9.38,65.52 +/- 6.70,69.18 +/- 8.20,46.88 +/- 6.63,92.57 +/- 2.42
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:rule_suppression,validation_threshold,shortcut_leaky_targeted_augmentation,2,0.5018315018315018,0.11721611721611722,0.5625,0.25,0.5237651444547996,0.17893755824790303,0.544690603514133,0.22001527883880828,0.4688042216012486,0.06627636160434841,0.9256524725274724,0.02421016483516486,50.18 +/- 11.72,56.25 +/- 25.00,52.38 +/- 17.89,54.47 +/- 22.00,46.88 +/- 6.63,92.57 +/- 2.42
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_contrastive:contrastive,test_oracle,shortcut_leaky_targeted_augmentation,2,0.5565476190476191,0.014880952380952384,0.65625,0.15625,0.5916666666666667,0.05833333333333335,0.6257284382284382,0.11290792540792538,0.5594452592541285,0.04291689741680005,0.9253090659340659,0.011160714285714302,55.65 +/- 1.49,65.62 +/- 15.62,59.17 +/- 5.83,62.57 +/- 11.29,55.94 +/- 4.29,92.53 +/- 1.12
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_contrastive:contrastive,validation_threshold,shortcut_leaky_targeted_augmentation,2,0.5465838509316769,0.0248447204968944,0.625,0.125,0.5743589743589743,0.04102564102564099,0.601237842617153,0.08841732979664019,0.5594452592541285,0.04291689741680005,0.9253090659340659,0.011160714285714302,54.66 +/- 2.48,62.50 +/- 12.50,57.44 +/- 4.10,60.12 +/- 8.84,55.94 +/- 4.29,92.53 +/- 1.12
