run,method,variant,pooling,seed,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,protected_reentrancy_fp_count
all_scope,accepted_label_only,gated,mil_topk,44,high_recall,target_recall,0.211,0.17419354838709677,0.9,0.19594594594594594,0.9666666666666667,0.3258426966292135,0.5410447761194029,0.3002382742231191,0.7108058608058608,29,63,119,1,212,30,182,36
all_scope,accepted_label_only,gated,mil_topk,44,precision_focused,target_precision,0.899,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.3002382742231191,0.7108058608058608,0,182,0,30,212,30,182,36
all_scope,contrastive,gated,mil_topk,44,max_f1,max_f1,0.8290000000000001,0.288135593220339,0.5666666666666667,0.32,0.5333333333333333,0.4,0.47058823529411764,0.38368641557971916,0.7547619047619047,16,148,34,14,212,30,182,26
all_scope,contrastive,gated,mil_topk,44,high_recall,target_recall,0.437,0.14835164835164835,0.9,0.17647058823529413,1.0,0.3,0.5172413793103449,0.38368641557971916,0.7547619047619047,30,42,140,0,212,30,182,26
all_scope,contrastive,gated,mil_topk,44,precision_focused,target_precision,0.894,1.0,0.06666666666666667,1.0,0.03333333333333333,0.06451612903225806,0.04132231404958678,0.38368641557971916,0.7547619047619047,1,182,0,29,212,30,182,26
all_scope,accepted_label_only,gated,mil_topk,45,max_f1,max_f1,0.725,0.36585365853658536,0.5,0.28888888888888886,0.43333333333333335,0.3466666666666666,0.3939393939393939,0.3627103505028388,0.7329670329670329,13,150,32,17,212,30,182,25
all_scope,accepted_label_only,gated,mil_topk,45,high_recall,target_recall,0.326,0.15789473684210525,0.9,0.17901234567901234,0.9666666666666667,0.3020833333333333,0.5141843971631206,0.3627103505028388,0.7329670329670329,29,49,133,1,212,30,182,25
all_scope,accepted_label_only,gated,mil_topk,45,precision_focused,target_precision,0.861,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.3627103505028388,0.7329670329670329,0,182,0,30,212,30,182,25
all_scope,contrastive,gated,mil_topk,45,max_f1,max_f1,0.432,0.32142857142857145,0.6,0.27419354838709675,0.5666666666666667,0.3695652173913043,0.467032967032967,0.34312034146369025,0.7432234432234432,17,137,45,13,212,30,182,34
all_scope,contrastive,gated,mil_topk,45,high_recall,target_recall,0.154,0.1497326203208556,0.9333333333333333,0.17261904761904762,0.9666666666666667,0.29292929292929293,0.5034722222222223,0.34312034146369025,0.7432234432234432,29,43,139,1,212,30,182,34
all_scope,contrastive,gated,mil_topk,45,precision_focused,target_precision,0.6970000000000001,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.34312034146369025,0.7432234432234432,0,182,0,30,212,30,182,34
all_scope,accepted_label_only,gated,mil_topk,46,max_f1,max_f1,0.784,0.35135135135135137,0.43333333333333335,0.2727272727272727,0.4,0.3243243243243243,0.36585365853658536,0.33905423725544065,0.721062271062271,12,150,32,18,212,30,182,28
all_scope,accepted_label_only,gated,mil_topk,46,high_recall,target_recall,0.328,0.15976331360946747,0.9,0.18012422360248448,0.9666666666666667,0.30366492146596863,0.5160142348754448,0.33905423725544065,0.721062271062271,29,50,132,1,212,30,182,28
all_scope,accepted_label_only,gated,mil_topk,46,precision_focused,target_precision,0.669,0.23,0.7666666666666667,0.23170731707317074,0.6333333333333333,0.3392857142857143,0.4702970297029703,0.33905423725544065,0.721062271062271,19,119,63,11,212,30,182,28
all_scope,contrastive,gated,mil_topk,46,max_f1,max_f1,0.432,0.24444444444444444,0.7333333333333333,0.2647058823529412,0.6,0.36734693877551017,0.4787234042553192,0.4091675401939343,0.7472527472527473,18,132,50,12,212,30,182,43
all_scope,contrastive,gated,mil_topk,46,high_recall,target_recall,0.17,0.1656441717791411,0.9,0.19852941176470587,0.9,0.3253012048192771,0.52734375,0.4091675401939343,0.7472527472527473,27,73,109,3,212,30,182,43
all_scope,contrastive,gated,mil_topk,46,precision_focused,target_precision,0.41500000000000004,0.23958333333333334,0.7666666666666667,0.2608695652173913,0.6,0.36363636363636365,0.4761904761904763,0.4091675401939343,0.7472527472527473,18,131,51,12,212,30,182,43
