scope,method,variant,seed,evaluation,precision,recall,f1,f2,pr_auc,roc_auc,notes
all_scope,CallGraph-GAT,clean_phase0d,46,validation_threshold,0.21518987341772153,0.5666666666666667,0.3119266055045872,0.4271356783919598,0.2033482262610134,0.6645604395604396,clean_split_baseline
all_scope,Pairwise-RGCN,clean_phase0d,42,validation_threshold,0.22058823529411764,0.5,0.30612244897959184,0.398936170212766,0.20702107536825123,0.6600732600732601,clean_split_baseline
all_scope,Pairwise-RGCN,clean_phase0d,43,validation_threshold,0.1796875,0.7666666666666667,0.2911392405063291,0.46370967741935487,0.20765999958875567,0.6631868131868132,clean_split_baseline
all_scope,Pairwise-RGCN,clean_phase0d,44,validation_threshold,0.19047619047619047,0.9333333333333333,0.3163841807909605,0.5243445692883895,0.2843444182608206,0.6994505494505494,clean_split_baseline
all_scope,Pairwise-RGCN,clean_phase0d,45,validation_threshold,0.19285714285714287,0.9,0.3176470588235294,0.5192307692307693,0.24997343627669133,0.6613553113553113,clean_split_baseline
all_scope,Pairwise-RGCN,clean_phase0d,46,validation_threshold,0.25,0.5666666666666667,0.3469387755102041,0.45212765957446804,0.2651510748821797,0.7053113553113554,clean_split_baseline
all_scope,Pairwise-GAT,clean_phase0d,42,validation_threshold,0.2153846153846154,0.4666666666666667,0.2947368421052632,0.3783783783783784,0.21842284420206318,0.674908424908425,clean_split_baseline
all_scope,Pairwise-GAT,clean_phase0d,43,validation_threshold,0.16129032258064516,0.5,0.24390243902439024,0.35211267605633806,0.23415276301360743,0.6593406593406593,clean_split_baseline
all_scope,Pairwise-GAT,clean_phase0d,44,validation_threshold,0.288135593220339,0.5666666666666667,0.38202247191011235,0.4748603351955308,0.28248656511729164,0.7216117216117216,clean_split_baseline
all_scope,Pairwise-GAT,clean_phase0d,45,validation_threshold,0.19014084507042253,0.9,0.31395348837209297,0.5152671755725191,0.24318417430974965,0.6695970695970697,clean_split_baseline
all_scope,Pairwise-GAT,clean_phase0d,46,validation_threshold,0.28888888888888886,0.43333333333333335,0.3466666666666666,0.3939393939393939,0.23654248092939567,0.7131868131868132,clean_split_baseline
all_scope,Current HyperVul,clean_phase0d,42,validation_threshold,0.21311475409836064,0.43333333333333335,0.2857142857142857,0.35911602209944754,0.3199651800786185,0.7055860805860806,clean_split_baseline
all_scope,Current HyperVul,clean_phase0d,43,validation_threshold,0.2608695652173913,0.6,0.36363636363636365,0.4761904761904763,0.3250888391792861,0.7180402930402932,clean_split_baseline
all_scope,Current HyperVul,clean_phase0d,44,validation_threshold,0.2625,0.7,0.38181818181818183,0.525,0.30727672045403354,0.7212454212454213,clean_split_baseline
all_scope,Current HyperVul,clean_phase0d,45,validation_threshold,0.2602739726027397,0.6333333333333333,0.36893203883495146,0.49222797927461137,0.2841057304425055,0.7312271062271062,clean_split_baseline
all_scope,Current HyperVul,clean_phase0d,46,validation_threshold,0.24719101123595505,0.7333333333333333,0.36974789915966383,0.5263157894736842,0.3340062323311265,0.7271978021978022,clean_split_baseline
all_scope,HyperVul risk-vs-safety,concat,42,validation_threshold,0.2972972972972973,0.36666666666666664,0.3283582089552239,0.3503184713375796,0.4123675134786778,0.7487179487179487,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,concat,43,validation_threshold,0.288135593220339,0.5666666666666667,0.38202247191011235,0.4748603351955308,0.3640752253609409,0.7351648351648351,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,concat,44,validation_threshold,0.3181818181818182,0.4666666666666667,0.3783783783783784,0.426829268292683,0.34248167216199515,0.7391941391941392,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,concat,45,validation_threshold,0.2549019607843137,0.43333333333333335,0.32098765432098764,0.3801169590643275,0.39067468828761337,0.7580586080586081,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,concat,46,validation_threshold,0.30434782608695654,0.4666666666666667,0.3684210526315789,0.4216867469879518,0.3882343197914814,0.7501831501831502,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,subtractive,42,validation_threshold,0.26229508196721313,0.5333333333333333,0.3516483516483517,0.44198895027624313,0.32390150495852454,0.7256410256410256,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,subtractive,43,validation_threshold,0.2328767123287671,0.5666666666666667,0.3300970873786407,0.4404145077720207,0.3174797571874566,0.7170329670329669,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,subtractive,44,validation_threshold,0.2962962962962963,0.5333333333333333,0.38095238095238093,0.4597701149425288,0.3227680020499589,0.7230769230769231,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,subtractive,45,validation_threshold,0.28169014084507044,0.6666666666666666,0.39603960396039606,0.5235602094240838,0.2937078039847624,0.7223443223443223,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,subtractive,46,validation_threshold,0.25757575757575757,0.5666666666666667,0.3541666666666667,0.45698924731182794,0.3480313643256224,0.7166666666666667,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,gated,42,validation_threshold,0.30434782608695654,0.4666666666666667,0.3684210526315789,0.4216867469879518,0.37927583932925496,0.7302197802197803,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,gated,43,validation_threshold,0.2786885245901639,0.5666666666666667,0.3736263736263736,0.4696132596685083,0.27955658465468214,0.7175824175824176,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,gated,44,validation_threshold,0.2857142857142857,0.5333333333333333,0.37209302325581395,0.45454545454545453,0.3050126050031487,0.7144688644688645,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,gated,45,validation_threshold,0.28,0.4666666666666667,0.35000000000000003,0.4117647058823529,0.37242958218319344,0.7293040293040293,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,gated,46,validation_threshold,0.3111111111111111,0.4666666666666667,0.37333333333333335,0.42424242424242425,0.37967366015067516,0.7311355311355311,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,rule_suppression,42,validation_threshold,0.36,0.3,0.3272727272727273,0.31034482758620685,0.3242814081366835,0.7238095238095238,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,rule_suppression,43,validation_threshold,0.25316455696202533,0.6666666666666666,0.36697247706422015,0.5025125628140704,0.2889217091209167,0.7267399267399267,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,rule_suppression,44,validation_threshold,0.25675675675675674,0.6333333333333333,0.3653846153846153,0.4896907216494845,0.2834341439614866,0.7146520146520147,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,rule_suppression,45,validation_threshold,0.36585365853658536,0.5,0.4225352112676056,0.4658385093167702,0.2718620643927531,0.7289377289377289,phase1b_clean_no_augmentation
all_scope,HyperVul risk-vs-safety,rule_suppression,46,validation_threshold,0.23255813953488372,0.6666666666666666,0.3448275862068966,0.48543689320388356,0.27881179143845763,0.708058608058608,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,concat,42,validation_threshold,0.36363636363636365,0.25,0.2962962962962963,0.26666666666666666,0.26020847067275865,0.7053571428571429,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,concat,43,validation_threshold,0.12371134020618557,0.75,0.21238938053097345,0.37267080745341613,0.3680907412755806,0.704326923076923,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,concat,44,validation_threshold,0.13157894736842105,0.625,0.21739130434782608,0.35714285714285715,0.32691445807772235,0.6617445054945055,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,concat,45,validation_threshold,0.38461538461538464,0.3125,0.3448275862068966,0.3246753246753247,0.2795674245029297,0.6871565934065933,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,concat,46,validation_threshold,0.6666666666666666,0.25,0.36363636363636365,0.2857142857142857,0.36051100951781223,0.7276785714285714,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,subtractive,42,validation_threshold,0.3333333333333333,0.3125,0.3225806451612903,0.3164556962025316,0.281924270788148,0.7032967032967034,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,subtractive,43,validation_threshold,0.29411764705882354,0.3125,0.30303030303030304,0.308641975308642,0.34509351322778614,0.7108516483516484,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,subtractive,44,validation_threshold,0.25,0.25,0.25,0.25,0.31996856587810013,0.6953983516483516,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,subtractive,45,validation_threshold,0.25,0.25,0.25,0.25,0.22416272324702424,0.6844093406593407,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,subtractive,46,validation_threshold,0.35714285714285715,0.3125,0.3333333333333333,0.32051282051282054,0.2830982721200564,0.7067307692307693,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,gated,42,validation_threshold,0.4444444444444444,0.25,0.32,0.27397260273972607,0.2642770426579093,0.6981456043956044,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,gated,43,validation_threshold,0.3076923076923077,0.25,0.27586206896551724,0.2597402597402597,0.24088426740980792,0.6916208791208791,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,gated,44,validation_threshold,0.36363636363636365,0.25,0.2962962962962963,0.26666666666666666,0.25736663638334295,0.680631868131868,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,gated,45,validation_threshold,0.375,0.1875,0.25,0.20833333333333334,0.2104372570599786,0.7032967032967032,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,gated,46,validation_threshold,0.5,0.25,0.3333333333333333,0.2777777777777778,0.2579389026028879,0.6655219780219781,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,rule_suppression,42,validation_threshold,0.4444444444444444,0.25,0.32,0.27397260273972607,0.2022118854338434,0.6850961538461539,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,rule_suppression,43,validation_threshold,0.15217391304347827,0.4375,0.22580645161290325,0.3181818181818182,0.2462363139425937,0.689217032967033,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,rule_suppression,44,validation_threshold,0.2,0.25,0.22222222222222224,0.23809523809523808,0.17673692113540904,0.6875,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,rule_suppression,45,validation_threshold,0.14634146341463414,0.375,0.21052631578947364,0.28571428571428575,0.2084832989597712,0.6675824175824175,phase1b_clean_no_augmentation
reentrancy_only,HyperVul risk-vs-safety,rule_suppression,46,validation_threshold,0.5714285714285714,0.25,0.34782608695652173,0.2816901408450704,0.26320527568460755,0.6971153846153846,phase1b_clean_no_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:gated,42,validation_threshold,0.6086956521739131,0.875,0.717948717948718,0.8045977011494253,0.6699508279495701,0.9718406593406593,shortcut_leaky_targeted_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:gated,42,test_oracle,0.7,0.875,0.7777777777777777,0.8333333333333334,0.6699508279495701,0.9718406593406593,shortcut_leaky_targeted_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:rule_suppression,42,validation_threshold,0.6190476190476191,0.8125,0.7027027027027026,0.7647058823529412,0.535080583205597,0.9498626373626373,shortcut_leaky_targeted_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:rule_suppression,42,test_oracle,0.65,0.8125,0.7222222222222223,0.7738095238095238,0.535080583205597,0.9498626373626373,shortcut_leaky_targeted_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_contrastive:contrastive,42,validation_threshold,0.5217391304347826,0.75,0.6153846153846153,0.6896551724137931,0.6023621566709285,0.9364697802197802,shortcut_leaky_targeted_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_contrastive:contrastive,42,test_oracle,0.5416666666666666,0.8125,0.65,0.7386363636363635,0.6023621566709285,0.9364697802197802,shortcut_leaky_targeted_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:gated,43,validation_threshold,0.6,0.5625,0.5806451612903225,0.569620253164557,0.610186376123876,0.9536401098901099,shortcut_leaky_targeted_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:gated,43,test_oracle,0.5,0.875,0.6363636363636364,0.7608695652173914,0.610186376123876,0.9536401098901099,shortcut_leaky_targeted_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:rule_suppression,43,validation_threshold,0.38461538461538464,0.3125,0.3448275862068966,0.3246753246753247,0.4025278599969002,0.9014423076923076,shortcut_leaky_targeted_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:rule_suppression,43,test_oracle,0.5555555555555556,0.625,0.5882352941176471,0.6097560975609756,0.4025278599969002,0.9014423076923076,shortcut_leaky_targeted_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_contrastive:contrastive,43,validation_threshold,0.5714285714285714,0.5,0.5333333333333333,0.5128205128205128,0.5165283618373284,0.9141483516483516,shortcut_leaky_targeted_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_contrastive:contrastive,43,test_oracle,0.5714285714285714,0.5,0.5333333333333333,0.5128205128205128,0.5165283618373284,0.9141483516483516,shortcut_leaky_targeted_augmentation
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:gated,42,validation_threshold,0.625,0.6666666666666666,0.6451612903225806,0.6578947368421052,0.5993286075489684,0.9100732600732601,shortcut_leaky_targeted_augmentation
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:gated,42,test_oracle,0.6785714285714286,0.6333333333333333,0.6551724137931035,0.641891891891892,0.5993286075489684,0.9100732600732601,shortcut_leaky_targeted_augmentation
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:rule_suppression,42,validation_threshold,0.45652173913043476,0.7,0.5526315789473684,0.6325301204819277,0.5230515870532363,0.8842490842490842,shortcut_leaky_targeted_augmentation
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:rule_suppression,42,test_oracle,0.5882352941176471,0.6666666666666666,0.625,0.6493506493506495,0.5230515870532363,0.8842490842490842,shortcut_leaky_targeted_augmentation
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:gated,43,validation_threshold,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.6677171084955205,0.8928571428571428,shortcut_leaky_targeted_augmentation
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:gated,43,test_oracle,0.6538461538461539,0.5666666666666667,0.6071428571428571,0.5821917808219177,0.6677171084955205,0.8928571428571428,shortcut_leaky_targeted_augmentation
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:rule_suppression,43,validation_threshold,0.4634146341463415,0.6333333333333333,0.5352112676056339,0.5900621118012422,0.48418663857430727,0.8835164835164835,shortcut_leaky_targeted_augmentation
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:rule_suppression,43,test_oracle,0.46808510638297873,0.7333333333333333,0.5714285714285714,0.6586826347305388,0.48418663857430727,0.8835164835164835,shortcut_leaky_targeted_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:gated,44,validation_threshold,0.52,0.8125,0.6341463414634146,0.7303370786516855,0.5897872834466855,0.9258241758241759,shortcut_leaky_targeted_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:gated,44,test_oracle,0.5652173913043478,0.8125,0.6666666666666667,0.7471264367816091,0.5897872834466855,0.9258241758241759,shortcut_leaky_targeted_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:gated,45,validation_threshold,0.5,0.9375,0.6521739130434783,0.7978723404255319,0.5731981138481244,0.9543269230769231,shortcut_leaky_targeted_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:gated,45,test_oracle,0.6086956521739131,0.875,0.717948717948718,0.8045977011494253,0.5731981138481244,0.9543269230769231,shortcut_leaky_targeted_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:gated,46,validation_threshold,0.5833333333333334,0.4375,0.5,0.4605263157894737,0.6364359218646685,0.9519230769230769,shortcut_leaky_targeted_augmentation
reentrancy_only,HyperVul targeted augmentation,shortcut_aug_bce:gated,46,test_oracle,0.6,0.75,0.6666666666666665,0.7142857142857143,0.6364359218646685,0.9519230769230769,shortcut_leaky_targeted_augmentation
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:gated,44,validation_threshold,0.43548387096774194,0.9,0.5869565217391305,0.7417582417582417,0.5871377421100078,0.9065934065934066,shortcut_leaky_targeted_augmentation
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:gated,44,test_oracle,0.4727272727272727,0.8666666666666667,0.611764705882353,0.7428571428571429,0.5871377421100078,0.9065934065934066,shortcut_leaky_targeted_augmentation
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:gated,45,validation_threshold,0.47619047619047616,0.6666666666666666,0.5555555555555556,0.617283950617284,0.5700622725300936,0.8915750915750916,shortcut_leaky_targeted_augmentation
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:gated,45,test_oracle,0.5882352941176471,0.6666666666666666,0.625,0.6493506493506495,0.5700622725300936,0.8915750915750916,shortcut_leaky_targeted_augmentation
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:gated,46,validation_threshold,0.6363636363636364,0.4666666666666667,0.5384615384615385,0.49295774647887325,0.6439081745565308,0.8923076923076924,shortcut_leaky_targeted_augmentation
all_scope,HyperVul targeted augmentation,shortcut_aug_bce:gated,46,test_oracle,0.43636363636363634,0.8,0.5647058823529413,0.6857142857142857,0.6439081745565308,0.8923076923076924,shortcut_leaky_targeted_augmentation
