run,method,variant,pooling,seed,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support
reentrancy_only,shortcut_aug_bce,gated,mil_attention,45,max_f1,max_f1,0.655,0.48148148148148145,0.9285714285714286,0.5,0.9375,0.6521739130434783,0.7978723404255319,0.5731981138481244,0.9543269230769231,15,167,15,1,198,16,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,45,high_recall,target_recall,0.655,0.48148148148148145,0.9285714285714286,0.5,0.9375,0.6521739130434783,0.7978723404255319,0.5731981138481244,0.9543269230769231,15,167,15,1,198,16,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,45,precision_focused,target_precision,0.988,0.7777777777777778,0.5,0.2857142857142857,0.125,0.17391304347826086,0.1408450704225352,0.5731981138481244,0.9543269230769231,2,177,5,14,198,16,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,45,test_oracle_max_f1,test_oracle,0.901,,,0.6086956521739131,0.875,0.717948717948718,0.8045977011494253,0.5731981138481244,0.9543269230769231,14,173,9,2,198,16,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,46,max_f1,max_f1,0.981,0.8333333333333334,0.7142857142857143,0.5833333333333334,0.4375,0.5,0.4605263157894737,0.6364359218646685,0.9519230769230769,7,177,5,9,198,16,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,46,high_recall,target_recall,0.854,0.52,0.9285714285714286,0.5,0.875,0.6363636363636364,0.7608695652173914,0.6364359218646685,0.9519230769230769,14,168,14,2,198,16,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,46,precision_focused,target_precision,0.9520000000000001,0.7333333333333333,0.7857142857142857,0.6111111111111112,0.6875,0.6470588235294118,0.6707317073170732,0.6364359218646685,0.9519230769230769,11,175,7,5,198,16,182
reentrancy_only,shortcut_aug_bce,gated,mil_attention,46,test_oracle_max_f1,test_oracle,0.9440000000000001,,,0.6,0.75,0.6666666666666665,0.7142857142857143,0.6364359218646685,0.9519230769230769,12,174,8,4,198,16,182
all_scope,shortcut_aug_bce,gated,mil_topk,44,max_f1,max_f1,0.116,0.5227272727272727,0.7666666666666667,0.43548387096774194,0.9,0.5869565217391305,0.7417582417582417,0.5871377421100078,0.9065934065934066,27,147,35,3,212,30,182
all_scope,shortcut_aug_bce,gated,mil_topk,44,high_recall,target_recall,0.017,0.3375,0.9,0.31521739130434784,0.9666666666666667,0.4754098360655738,0.6839622641509435,0.5871377421100078,0.9065934065934066,29,119,63,1,212,30,182
all_scope,shortcut_aug_bce,gated,mil_topk,44,precision_focused,target_precision,0.913,1.0,0.43333333333333335,0.625,0.5,0.5555555555555556,0.5208333333333334,0.5871377421100078,0.9065934065934066,15,173,9,15,212,30,182
all_scope,shortcut_aug_bce,gated,mil_topk,44,test_oracle_max_f1,test_oracle,0.194,,,0.4727272727272727,0.8666666666666667,0.611764705882353,0.7428571428571429,0.5871377421100078,0.9065934065934066,26,153,29,4,212,30,182
all_scope,shortcut_aug_bce,gated,mil_topk,45,max_f1,max_f1,0.729,0.68,0.5666666666666667,0.47619047619047616,0.6666666666666666,0.5555555555555556,0.617283950617284,0.5700622725300936,0.8915750915750916,20,160,22,10,212,30,182
all_scope,shortcut_aug_bce,gated,mil_topk,45,high_recall,target_recall,0.048,0.3333333333333333,0.9,0.27358490566037735,0.9666666666666667,0.42647058823529416,0.6415929203539824,0.5700622725300936,0.8915750915750916,29,105,77,1,212,30,182
all_scope,shortcut_aug_bce,gated,mil_topk,45,precision_focused,target_precision,0.8240000000000001,0.7272727272727273,0.5333333333333333,0.5405405405405406,0.6666666666666666,0.5970149253731343,0.6369426751592356,0.5700622725300936,0.8915750915750916,20,165,17,10,212,30,182
all_scope,shortcut_aug_bce,gated,mil_topk,45,test_oracle_max_f1,test_oracle,0.884,,,0.5882352941176471,0.6666666666666666,0.625,0.6493506493506495,0.5700622725300936,0.8915750915750916,20,168,14,10,212,30,182
all_scope,shortcut_aug_bce,gated,mil_topk,46,max_f1,max_f1,0.9560000000000001,0.9285714285714286,0.43333333333333335,0.6363636363636364,0.4666666666666667,0.5384615384615385,0.49295774647887325,0.6439081745565308,0.8923076923076924,14,174,8,16,212,30,182
all_scope,shortcut_aug_bce,gated,mil_topk,46,high_recall,target_recall,0.127,0.30337078651685395,0.9,0.2871287128712871,0.9666666666666667,0.44274809160305345,0.6561085972850679,0.6439081745565308,0.8923076923076924,29,110,72,1,212,30,182
all_scope,shortcut_aug_bce,gated,mil_topk,46,precision_focused,target_precision,0.9390000000000001,0.7777777777777778,0.4666666666666667,0.5833333333333334,0.4666666666666667,0.5185185185185186,0.4861111111111111,0.6439081745565308,0.8923076923076924,14,172,10,16,212,30,182
all_scope,shortcut_aug_bce,gated,mil_topk,46,test_oracle_max_f1,test_oracle,0.648,,,0.43636363636363634,0.8,0.5647058823529413,0.6857142857142857,0.6439081745565308,0.8923076923076924,24,151,31,6,212,30,182
