run,strategy,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
all_scope,hard_negative_upweight,mil_topk,43,interaction,max_f1,max_f1,0.639,0.2028985507246377,0.27450980392156865,0.12903225806451613,0.2,0.1568627450980392,0.1801801801801802,0.10053735676748485,0.8039406779661018,8,1126,54,32,1220,40,1180,0.08484848484848485,0.07128309572301425,0.061389337641357025,0.388,0.29,0.233,0.7254901960784313,0.803921568627451,0.9019607843137255
all_scope,hard_negative_upweight,mil_topk,43,interaction,high_recall,target_recall,0.233,0.05686032138442522,0.9019607843137255,0.061389337641357025,0.95,0.11532625189681335,0.24390243902439024,0.10053735676748485,0.8039406779661018,38,599,581,2,1220,40,1180,0.08484848484848485,0.07128309572301425,0.061389337641357025,0.388,0.29,0.233,0.7254901960784313,0.803921568627451,0.9019607843137255
all_scope,hard_negative_upweight,mil_topk,43,interaction,precision_focused,target_precision,0.458,0.11272727272727273,0.6078431372549019,0.09417040358744394,0.525,0.1596958174904943,0.2741514360313316,0.10053735676748485,0.8039406779661018,21,978,202,19,1220,40,1180,0.08484848484848485,0.07128309572301425,0.061389337641357025,0.388,0.29,0.233,0.7254901960784313,0.803921568627451,0.9019607843137255
all_scope,hard_negative_oversample,mil_topk,43,interaction,max_f1,max_f1,0.897,0.19444444444444445,0.27450980392156865,0.11363636363636363,0.125,0.11904761904761904,0.12254901960784312,0.11937491829661688,0.8096610169491525,5,1141,39,35,1220,40,1180,0.08387096774193549,0.07079646017699115,0.05371900826446281,0.594,0.40700000000000003,0.187,0.7254901960784313,0.803921568627451,0.9019607843137255
all_scope,hard_negative_oversample,mil_topk,43,interaction,high_recall,target_recall,0.187,0.04572564612326044,0.9019607843137255,0.05371900826446281,0.975,0.10182767624020887,0.22009029345372458,0.11937491829661688,0.8096610169491525,39,493,687,1,1220,40,1180,0.08387096774193549,0.07079646017699115,0.05371900826446281,0.594,0.40700000000000003,0.187,0.7254901960784313,0.803921568627451,0.9019607843137255
all_scope,hard_negative_oversample,mil_topk,43,interaction,precision_focused,target_precision,0.657,0.10355987055016182,0.6274509803921569,0.09652509652509653,0.625,0.16722408026755853,0.29832935560859186,0.11937491829661688,0.8096610169491525,25,946,234,15,1220,40,1180,0.08387096774193549,0.07079646017699115,0.05371900826446281,0.594,0.40700000000000003,0.187,0.7254901960784313,0.803921568627451,0.9019607843137255
all_scope,baseline,mil_topk,44,interaction,max_f1,max_f1,0.893,0.47619047619047616,0.19607843137254902,0.1111111111111111,0.05,0.06896551724137932,0.05617977528089888,0.11802455355549338,0.8117584745762711,2,1164,16,38,1220,40,1180,0.10121457489878542,0.07095343680709534,0.0581039755351682,0.587,0.40900000000000003,0.256,0.7058823529411765,0.803921568627451,0.9019607843137255
all_scope,baseline,mil_topk,44,interaction,high_recall,target_recall,0.256,0.05293440736478711,0.9019607843137255,0.0581039755351682,0.95,0.10951008645533142,0.2334152334152334,0.11802455355549338,0.8117584745762711,38,564,616,2,1220,40,1180,0.10121457489878542,0.07095343680709534,0.0581039755351682,0.587,0.40900000000000003,0.256,0.7058823529411765,0.803921568627451,0.9019607843137255
all_scope,baseline,mil_topk,44,interaction,precision_focused,target_precision,0.632,0.11224489795918367,0.6470588235294118,0.10294117647058823,0.525,0.1721311475409836,0.28846153846153844,0.11802455355549338,0.8117584745762711,21,997,183,19,1220,40,1180,0.10121457489878542,0.07095343680709534,0.0581039755351682,0.587,0.40900000000000003,0.256,0.7058823529411765,0.803921568627451,0.9019607843137255
all_scope,hard_negative_upweight,mil_topk,44,interaction,max_f1,max_f1,0.457,0.23529411764705882,0.23529411764705882,0.14285714285714285,0.125,0.13333333333333333,0.1282051282051282,0.11034172371323356,0.8084533898305084,5,1150,30,35,1220,40,1180,0.0790273556231003,0.06529850746268656,0.04534883720930233,0.168,0.099,0.041,0.7058823529411765,0.8235294117647058,0.9019607843137255
