run,model,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support
all_scope,HyperVul native MIL,mil_max,46,interaction,high_recall,target_recall,0.122,0.04474708171206226,0.9019607843137255,0.05099150141643059,0.9,0.09651474530831099,0.20785219399538107,0.15911904127347243,0.7957415254237288,36,510,670,4,1220,40,1180
all_scope,HyperVul native MIL,mil_max,46,interaction,precision_focused,target_precision,0.438,0.11494252873563218,0.5882352941176471,0.11214953271028037,0.6,0.1889763779527559,0.32085561497326204,0.15911904127347243,0.7957415254237288,24,990,190,16,1220,40,1180
all_scope,HyperVul native MIL,mil_topk,42,interaction,max_f1,max_f1,0.932,0.34375,0.21568627450980393,0.1,0.05,0.06666666666666667,0.05555555555555556,0.11364115112060123,0.7989618644067796,2,1162,18,38,1220,40,1180
all_scope,HyperVul native MIL,mil_topk,42,interaction,high_recall,target_recall,0.105,0.04013961605584642,0.9019607843137255,0.04721549636803874,0.975,0.09006928406466512,0.19776876267748478,0.11364115112060123,0.7989618644067796,39,393,787,1,1220,40,1180
all_scope,HyperVul native MIL,mil_topk,42,interaction,precision_focused,target_precision,0.785,0.16546762589928057,0.45098039215686275,0.14634146341463414,0.45,0.2208588957055215,0.31802120141342755,0.11364115112060123,0.7989618644067796,18,1075,105,22,1220,40,1180
all_scope,HyperVul native MIL,mil_topk,43,interaction,max_f1,max_f1,0.915,0.2222222222222222,0.35294117647058826,0.13513513513513514,0.25,0.1754385964912281,0.21367521367521367,0.12132372578550993,0.8088771186440677,10,1116,64,30,1220,40,1180
all_scope,HyperVul native MIL,mil_topk,43,interaction,high_recall,target_recall,0.17,0.04034334763948498,0.9215686274509803,0.046706586826347304,0.975,0.08914285714285715,0.19597989949748745,0.12132372578550993,0.8088771186440677,39,384,796,1,1220,40,1180
all_scope,HyperVul native MIL,mil_topk,43,interaction,precision_focused,target_precision,0.866,0.16556291390728478,0.49019607843137253,0.14173228346456693,0.45,0.2155688622754491,0.313588850174216,0.12132372578550993,0.8088771186440677,18,1071,109,22,1220,40,1180
all_scope,HyperVul native MIL,mil_topk,44,interaction,max_f1,max_f1,0.7010000000000001,0.22580645161290322,0.27450980392156865,0.16,0.3,0.20869565217391306,0.2553191489361702,0.12028081613606331,0.8070338983050849,12,1117,63,28,1220,40,1180
all_scope,HyperVul native MIL,mil_topk,44,interaction,high_recall,target_recall,0.14100000000000001,0.04946236559139785,0.9019607843137255,0.05194805194805195,0.9,0.09822646657571624,0.21101992966002348,0.12028081613606331,0.8070338983050849,36,523,657,4,1220,40,1180
all_scope,HyperVul native MIL,mil_topk,44,interaction,precision_focused,target_precision,0.40900000000000003,0.10682492581602374,0.7058823529411765,0.10276679841897234,0.65,0.17747440273037543,0.31476997578692495,0.12028081613606331,0.8070338983050849,26,953,227,14,1220,40,1180
all_scope,HyperVul native MIL,mil_topk,45,interaction,max_f1,max_f1,0.93,0.3,0.23529411764705882,0.08333333333333333,0.05,0.0625,0.05434782608695652,0.11950895265395547,0.8146186440677966,2,1158,22,38,1220,40,1180
